@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
1000,4.28,512,904,5860,Medium
10000,3.82,1860,9177,90000,High
1000,3.34,94,3117,3870,Medium
1000,4.52,312,27740,9000,Medium
100,3.38,58,66644,574,Low
10000,4.06,1642,12309,90000,High
7,5,1,6348,56,Low
100,3.71,42,105015,368,Low
1000,3.89,115,21842,4860,Medium
50,3.29,7,28,600,Low
1000,3.3,408,1335,15000,Medium
1000,3.73,145,32168,3910,Medium
100,3.16,38,38985,1100,Low
100,3.46,56,90105,1100,Low
10000,4.18,1352,25356,80000,High
10000,4.36,2010,22765,140000,High
100,4,35,3245,600,Low
1000,4.18,352,17738,6000,Medium
100,3,6,366,1200,Low
100,3.47,34,5654,388,Low
12350,3.96,3761,12476,98800,High
1000,3.98,131,42919,12000,Medium
1000,3.39,192,37956,5650,Medium
1000,4.46,217,9002,11000,Medium
1000,3.82,428,18831,12000,Medium
100,4.13,23,3769,900,Low
5000,3.45,920,4632,40000,High
1000,3.39,219,73271,8000,Medium
5000,3.78,1022,3566,28950,High
10000,3.27,1167,9177,80000,High
